"Job.Title","Job.Description","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","Python","R Prog","Excel","Hadoop","SQL","SAS"
"Data Scientist","Site Name: India - Karnataka - Bangalore
Posted Date: Jun 11 2020
Job Description
GSK is one of the worlds foremost pharmaceutical and healthcare companies and we are proud to be leading a healthcare revolution. By disrupting our approaches to R&D and commercial business processes, D&A is allowing us to integrate, simplify and unlock all our data to drive innovation, decision making and enable our transformation in servicing our patients, healthcare professionals and consumers.
If you are ready for an exciting careerYOU would be responsible for the following.
Demonstrate specialization in AI/ML and Cognitive technology, process automation and process mining.
A strong business architecture foundation combined with technical skills background.
Deliver key analytics projects in an agile methodology.
Lead the investigation and detailed analysis of Cognitive ML/AI Incidents and process exceptions including a strategic approach to root cause analysis.
Provide accurate specifications and timely deliverance of all our products which need a good foundation of Data analytics, ML algorithm, python and other related coding experience
Follow proper Devops methodologies, CI/CD pipelines, change and release management controls.
We are looking for professionals with these skills to achieve our goals. If YOU have these skills, we would like to speak to you.
MS/BS degree in Computer Science, Engineering, Design
5-7 years experience in Advanced analytics systems including but not limited to Apache, Hadoop, or any other Hadoop systems, HDFS, Graph and other non-relational databases.
Experience with in cloud or on-premise environment.
Experience on Azure ML, Azure Cognitive services is preferred.
Technical expert in AI/ML algorithms who can take these algorithms developed in Python, Scala, spark etc.
Experience in deploying AI/ML algorithms. Expert understanding of performance evaluation of the models.
Extensive experience in UAT, SAT and UX for adv analytics.
Understand GSK CH needs for advanced analytics and especially how to deploy them in agile DevSecOps environment.

Why GSK?
Our values and expectations are at the heart of everything we do and form an important part of our culture. These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance and trust, the successful candidate will demonstrate the following capabilities.
GSKIndia_DA

*LI-GSK

Our goal is to be one of the worlds most innovative, best performing and trusted healthcare companies. We believe that we all bring something unique to GSK and when we combine our knowledge, experiences and styles together, the impact is incredible. Come join our adventure at GSK where you will be inspired to do your best work for our patients and consumers. A place where you can be you, feel good and keep growing.

Important notice to Employment businesses/ Agencies

GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.

It has come to our attention that the names of GlaxoSmithKline or GSK or our group companies are being used in connection with bogus job advertisements or through unsolicited emails asking candidates to make some payments for recruitment opportunities and interview. Please be advised that such advertisements and emails are not connected with the GlaxoSmithKline group in any way.

GlaxoSmithKline does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection with recruitment with any GlaxoSmithKilne (or GSK) group company at any worldwide location. Even if they claim that the money is refundable.

If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that does not end in gsk.com, you should disregard the same and inform us by emailing askus@gsk.com, so that we can confirm to you if the job is genuine.",3.9,"GSK","Bengaluru","Brentford, United Kingdom","10000+ employees",1830,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","500+ billion (INR)","Pfizer, AstraZeneca, Merck",1,0,0,1,0,0
"Data Scientist","Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4,"Quanticate","Bengaluru","Hitchin, United Kingdom","201 to 500 employees",1995,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","1 to 5 billion (INR)","GCE Solutions, Parexel, IQVIA",1,0,0,0,0,1
"Data Scientist","Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.5,"PayPal","Bengaluru","San Jose, CA","10000+ employees",1998,"Company - Public","Internet","Information Technology","500+ billion (INR)","Square, Amazon, Apple",1,0,0,0,1,1
"Data Scientist","At Amazon, we strive to be most customer-centric company on the earth. To get there, we need exceptionally talented, bright, dynamic and driven people to develop the next-generation technologies.
Are you champion of innovating on behalf of the customer by turning data insights into action? Do you want to be part of Amazons strategic and highly impactful finance and payroll technology projects? Amazons Finance Automation Payroll Tech team has an opportunity for a seasoned Data Scientist whose experience illustrates a clear ability to create world class machine learning systems to meet long-term Payroll needs.

At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon partners. We build, operate, and scale systems that are responsible for billions of dollars in transactions, and are central to the success of worldwide finance. We ""think globally, act locally"" to revolutionize a worldwide employee and customer experience and fulfill our promise to pay accurately, on-time, with lowest cost to Amazon.

As a Data Scientist at Finance Automation, you are self-driven leader with extensive experience in applying statistics and data science concepts to bring tangible benefits for global finance operations. Finance and Payroll domain knowledge is a plus but not required.

· Work with finance and payroll stakeholders to understand the organization goals, objectives, and pain points. Identify key areas to drive Machine Learning initiatives, define needle-moving business questions and success criteria.
· Collect and analyze finance, HR, and payroll data across multiple isolated systems. Derive actionable insights from large volumes of heterogeneous data.
· Create reliable and maintainable code to build regression, classification, clustering, and anomaly detection systems. Work closely with software engineers to develop data ingestion and visualization, and productionize your models.
· Partner with finance analysts, and payroll managers to deploy and test machine learning systems with your statistical models at the core. Automate feedback loops, tune, and improve the models in production.
· Train non-tech stakeholders and partners to effectively use your machine learning systems. Set the right expectations on model limitations and prove business value.
· Create and maintain business and technical artifacts such as requirements documentation, use cases, performance evaluation, and model metrics.
· Learn and utilize AWS technologies and Amazon machine learning systems to effectively work with terabytes of data.

Being part of Amazon Finance Automation gives you the opportunity to work in a rapidly growing organization with many high performing global technology teams. Come join us in making history!




Basic Qualifications

· Bachelor's or Masters degree in Statistics, Applied Math, Operations Research, Economics, Engineering or a related quantitative field with 5 years of working experience as a Data Scientist.
· In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
· Experience building productions systems with statistical analysis, data modeling, regression modeling and forecasting, time series analysis, and deep learning neural networks.
· Expertise in coding using one or more programming languages such as R, Python, MATLAB, and Spark to build machine learning models. Skilled in manipulating and processing data using libraries such as Scikit-learn, Pandas, and NumPy. Demonstrated experience in SQL and/or NoSQL data modeling.
· Experience processing, filtering, and presenting large quantities of data. Ability to design for performance, scalability, and availability.
· Excellent communication, analytical and problem-solving skills. Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives.
· Obsession with quality, operational excellence, and customer experience. Ability to convey rigorous mathematical concepts and considerations to non-experts.

Preferred Qualifications

· Passion to dive deep to resolve problems at their root, looking for failure patterns amenable to long-term solutions via simplification and automation.
· Experience in AWS is a huge plus. Functional knowledge of AWS platforms such as Sagemaker, S3, Glue, Dynamodb, and RedShift.
· Exposure to finance and payments domain is a plus.
· Deep understanding of data, application, server, and network security.
· Experience with agile or scrum methodology.",4.2,"Amazon","Hyderabad","Seattle, WA","10000+ employees",1994,"Company - Public","Internet","Information Technology","500+ billion (INR)","Google, Microsoft, Walmart",1,0,1,0,1,0
"Data Scientist","When everything's connected, how we connect is everything… and we'd like to connect with you too! We are looking for you to help us deliver exceptional customer experiences as a Data Scientist.
At TTEC Digital, we combine human insight and the speed of technology to transform our clients’ interactions with their customers. Advanced analytics of the customer experience and customer interactions is our expertise.
Check out our website below to learn more about what we do and how we help our clients.
What you’ll be doing
This person will be a part of our Global Data Science Center focused on helping our clients find and seize opportunities in their markets.

Support the development of consulting products such as proprietary customer experience scores and marketing optimization solutions
Maintain our stellar reputation with our clients and drive >80 client NPS
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to deliver proprietary uplift model solutions
Support the introduction and advancement of decision science throughout our contact center engagement
Recommend and introduce new methods where relevant
Resource Planning
Recommend required resources to managers
Align required resources to client schedules
Mentor data engineers and architects on requirements
Develop requirements and technical specifications documents for use by engineers

Delivery
Recommend project timelines to managers
Drive on-time delivery and identify and escalate risks to managers
Support attainment of annual goals for client satisfaction
Deliver your own solutions while collaborating on other projects

What you’ll bring to the role
Masters in Statistics, Economics, IE/OR, Computer Science, Applied Mathematics or related field is required; PhD is a plus
1-5 years' experience delivering advanced analytics solutions since graduate program
Ability to translate client requests into approach statements and project plans
Ability to work in a highly collaborative, team-oriented environment
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems
Expert at data wrangling both structured and unstructured data
Experience delivering solutions using regression modeling or machine learning techniques; experience with both is desired
Expert in developing and implementing predictive analytics solutions in one or more of the following languages: R or Python experience with SAS is desired
Experience delivering solutions using large datasets (multi-Gb or larger)
Experience in MS Office suite of products, especially Excel and Powerpoint
Ability to work within any modern big data environment (AWS, MS Azure, SAP Hana, etc.) is desired
Experience with text analytic or speech analytic is desired.
Experience with one or more modern social listening tools (Crimson Hexagon, TheySay, etc.) is desired
What skills you’ll need:
Excellent analytic and data-driven thinking skills
Strong communication skills and an ability to work successfully in a distributed workforce
Creative problem solving and an understanding of analytics workflows
Strong background in consulting a plus

About TTEC
We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.",3.3,"TTEC","Hyderabad","Englewood, CO","10000+ employees",1982,"Company - Public","Staffing & Outsourcing","Business Services","100 to 500 billion (INR)","Teleperformance, TaskUs, Convergys",1,0,1,0,0,1
"Data Scientist","What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder","Bengaluru","Scottsdale, AZ","5001 to 10000 employees",1985,"Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 billion (INR)","SAP, Oracle, Manhattan Associates",0,0,0,0,0,0
"Data Scientist","Good understanding of basics of Statistics, Probability, Linear Algebra and Calculus
Should be able to explain all ML/DS projects mentioned in resume
Good in qualitative and result interpretation
Good understanding of business problem
Profound understanding of basic DS and ML skills like outlier handling, data imputation, bias, variance, cross validation etc.
Good understanding of basic ML algorithm, like linear regression, logistic regression, random forest etc.
Take Ownership of on boarding new customers and continuously improve our existing.
Experience in building machine learning models or optimization software to solve business problems.
Ability to communicate results clearly to both colleagues and less technically versed audiences.
Knowledge of multivariate preferably in the Python Data ecosystem.
Good either at Python or R from DS perspective
Understand and uses pandas, numpy, scikit-learn and other scientific libraries
effectively and efficiently.
Understand basic data structure of python, write pythonic code
Good understanding on using packages like data. table, ggplot, dplyr etc.
Good understanding of matrix algebra and memory management.
Supply Chain Nation

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out Blue Yonder's blog - Supply Chain Nation - the platform for supply chain trends and innovations.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",4.3,"Blue Yonder","Bengaluru","Scottsdale, AZ","5001 to 10000 employees",1985,"Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 billion (INR)","SAP, Oracle, Manhattan Associates",1,0,0,0,0,0
"Data Scientist","Job Description – Data Scientist

Location: Chennai or Bengaluru, India


Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman works proactively and collaboratively with its worldwide customers in pulp and paper, leather, and water treatment to deliver exceptional service and innovative specialty chemical solutions to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Job Description


Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Basic Qualifications
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization and expertise in the following areas:
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis
Personality Traits
A strong business focus, ownership and inner self-drive to data science solutions to real-world customers with tangible impact.
Ability to collaborate effectively with multi-disciplinary and passionate team members.
Ability to communicate with a diverse set of stakeholders
Strong planning and organization skills, with the ability to manage multiple complex projects
A life-long learner who constantly updates skills",3.5,"Buckman","Chennai","Memphis, TN","1001 to 5000 employees",1945,"Company - Private","Chemical Manufacturing","Manufacturing","50 to 100 billion (INR)","-1",1,0,0,1,1,0
"Data Scientist","Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Apply a broad array of analytics skills including machine learning, statistics, text-mining/NLP, and modeling to extract insights from structured and unstructured data sources and complementary real-world & digital information streams to business challenges
Design data test and learn experiments to drive personalized solutions across the customer journeys addressing key customer needs as well as enabling personalized experiences across each touch points through connective analytics
Initiate and propose unique and promising modeling features, develop new and innovative algorithms and technologies, pursuing patents where appropriate
Stay current on published state-of-the-art algorithms and competing technologies.
Apply Natural Language Processing to understand text from forum reviews, description and interactions between users
Requirements

Exp: 3 - 10 years

Preferred: Talents from Analytics/eComm/Product Firms
Modelling experience, preferably in Internet companies
Ph.D., MS, MTech, M-Stat, BTech for appropriate levels / MS or Ph.D. in Computer Science / Statistics / Applied Mathematics
Advanced knowledge of experimentation and statistical methods
Strong in statistical & machine learning concepts. Knowledgeable about the machine learning trade-offs and model evaluation
Experience with distributed big data processing (Hive/Spark). Knowledge of NoSQL data stores
Deep understanding of modern machine learning techniques and their mathematical underpinnings such as classification, recommendation systems , and natural language processing
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, Digital Ocean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.",3.2,"Corp Talents","Mumbai","San Jose, CA","201 to 500 employees",2000,"Company - Private","-1","-1","500 million to 1 billion (INR)","-1",1,0,0,0,1,0
"Data Scientist","Summary
Miko is a Mumbai based advanced consumer robotics innovation lab passionate about bringing the best of technology to young learners everywhere. The company’s flagship product, Miko 2, is the first robot that uses playful, conversational learning to educate, engage and entertain kids. Our robots have been designed for the age group of 5-10 and we actively sell in US, UK and UAE besides India.
We are looking for a Data Scientist in our Product team. You will execute the planned analytics data points to translate raw data into valuable business insights. In this role, we expect you to have strong logical reasoning skills and precision in implementation of a task.
The ability to communicate effectively is essential. If you have industry experience or strong aptitude for analytics, we’d like to meet you.
Your goal will be to help all functions take better data-driven decisions and hence, contribute richly towards creating high quality user experiences.

Responsibilities
 Provide analytic support by using various tools to perform detailed quantitative analysis
 Execute research and analysis, including data gathering, processing and modeling from different data sources
 Process and verify integrity of data used for analysis to correct discrepancies and ensure quality
 Implement data analysis/visualization and explain complex solutions to people from multiple functions and hierarchical levels
 Understand business needs and objectives
 Generate regular reports and insights for relevant divisions (e.g. product, marketing, gaming, AI)

Requirements
 Work experience or proven aptitude of at least 3 years as a Data Scientist
 Deep knowledge of Excel, Python, SQL and at least project level experience of
analytics coding in iOS and/or android
 Familiarity with business analytics and visualisation tools (e.g. Google Analytics, Mixpanel, Tableau, Graphana)
 Superb communication skills and strong organizational abilities
 Attention to detail and problem-solving aptitude
 B.Sc./B.Tech. or relevant courses in Statistics, Data Management or a related field

Expected Start Date: 1/7/2020

Job Type: Full-time

Experience:
Data Science : 3 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19",-1,"Emotix Miko","-1","-1","-1",-1,"-1","-1","-1","-1","-1",1,0,1,0,1,0
